,name,maxAgentDensity,oxygenDiffusivity,vegfDiffusivity,G1,S,G2,M,endothelialDivisionDelay,minimumVegfConcentration,baseOxygenEmissionRate,minHIF,maxHIF,ultraHypoxicThreshold,hypoxicThreshold,minPSynthesis,minimumOxygenConcentration,baseHifRate,numCancerCells,numEndothelialCells,glucoseDiffusivity,glucoseSecretionRate,minGlucoseUptakeRate,maxGlucoseUptakeRate,pWarburgSwitch,enhancedHypoxicThreshold,minGlucoseWarburg,baseOxygenMetabolicRate,minGlucoseNonWarburg,healthyTissueOxygenUptakeRate,dt,diffusionSolveIterations,envSize
1200,experiments_011019_hyp_testing_full_pws_0.2_moc_12_0,70,0.4317949516,0.0001,7,2,10,1,10,4.7064077786,40,0,16,3,20,0.6693632773,12,1,9,1,0.0011537197,190,10,22.407006241100003,0.2,75,17.0457134221,25,11.6744917775,25,4500,10,20
1201,experiments_011019_hyp_testing_full_pws_0.2_moc_12_1,70,0.3806816927,0.0001,7,2,10,1,10,4.1063072258,40,0,16,3,20,0.39363125159999995,12,1,15,1,0.0011413585,190,10,19.0410413874,0.2,75,19.9420122973,25,8.3575586875,25,4500,10,20
1202,experiments_011019_hyp_testing_full_pws_0.2_moc_12_2,70,0.146438963,0.0001,7,2,10,1,10,4.6238011897,40,0,16,3,20,0.2166758846,12,1,15,1,0.0006402773000000001,190,10,18.8631194122,0.2,75,13.6311121597,25,1.9111889855000002,25,4500,10,20
1203,experiments_011019_hyp_testing_full_pws_0.2_moc_12_3,70,0.3535372494,0.0001,7,2,10,1,10,3.5447000573,40,0,16,3,20,0.3306841241,12,1,16,1,0.00132984,190,10,15.9071634576,0.2,75,16.138568792,25,1.4793403413,25,4500,10,20
1204,experiments_011019_hyp_testing_full_pws_0.2_moc_12_4,70,0.5120269961,0.0001,7,2,10,1,10,6.0548647129,40,0,16,3,20,0.5205041519,12,1,15,1,0.0005826774,190,10,17.8638248058,0.2,75,19.1010032314,25,3.2799815442,25,4500,10,20
1205,experiments_011019_hyp_testing_full_pws_0.2_moc_12_5,70,0.4982255474,0.0001,7,2,10,1,10,4.3039805798,40,0,16,3,20,0.48645285990000003,12,1,16,1,0.0013119949,190,10,18.370298875,0.2,75,17.722649227999998,25,0.9449031848999999,25,4500,10,20
1206,experiments_011019_hyp_testing_full_pws_0.2_moc_12_6,70,0.39951616520000005,0.0001,7,2,10,1,10,4.5082049742,40,0,16,3,20,0.4103415532,12,1,13,1,0.0005680467,190,10,22.355768224600002,0.2,75,17.1936299087,25,7.6087861519,25,4500,10,20
1207,experiments_011019_hyp_testing_full_pws_0.2_moc_12_7,70,0.09459843230000001,0.0001,7,2,10,1,10,7.2915005024,40,0,16,3,20,0.3336325299,12,1,14,1,0.0007597417,190,10,18.5140608802,0.2,75,15.3509275498,25,2.8207297107,25,4500,10,20
1208,experiments_011019_hyp_testing_full_pws_0.2_moc_12_8,70,0.255242949,0.0001,7,2,10,1,10,5.7754461327,40,0,16,3,20,0.630612682,12,1,12,1,0.0009041187,190,10,18.3246558151,0.2,75,19.260831206600002,25,2.5174113332,25,4500,10,20
1209,experiments_011019_hyp_testing_full_pws_0.2_moc_12_9,70,0.3462181876,0.0001,7,2,10,1,10,5.473423556799999,40,0,16,3,20,0.778113194,12,1,11,1,0.000669535,190,10,23.2245691895,0.2,75,16.3316802179,25,1.1312510409,25,4500,10,20
